C1:1
C5:1
C6:1
C7:1
C8:1
D1:1
D2:1
D3:1
D4:1
D5:1
D6:1
D7:1
D8:1
F1:1
F2:1
F3:1
F4:1
F5:1
F6:1
F7:1
G***:2
J1:1
J10:1
J11:1
J12:1
J13:1
J14:1
J15:1
J16:1
J17:1
J18:1
J19:1
J2:1
J20:1
J21:1
J22:1
J23:1
J24:1
J25:1
J3:1
J4:1
J5:1
J6:1
J7:1
J8:1
J9:1
JP1:1
JP2:1
JP3:1
JP4:1
JP5:1
JP6:1
JP7:1
Q1:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
REF**:4
SW1:1
U1:1
U2:1
U3:1
U4:1
U5:1
